"neighbourhood","postalCode","lon","lat"
"Sunrise Centre","N0B 2J0","-80.109357","43.486526"
"Old Zeller","N2A 0A3","-80.4123085","43.4544903"
"Grand River South","N2A 0B2","-80.4152648","43.4525017"
"Faith Church","N2A 1A9","-80.4329998","43.4292235"
"Centreville-Chicopee","N2A 1K1","-80.4420398","43.4443113"
"Stanley Park","N2A 1K4","-80.4470808","43.4457796"
"Chicopee-Centreville","N2A 1T2","-80.4234373","43.4336425"
"Stanley Park","N2A 1Z1","-80.4484714","43.4441057"
"Stanley Park","N2A 1Z2","-80.4495144","43.4468793"
"Stanley Park Community","N2A 2A4","-80.4536859","43.4475281"
"Stanley Park","N2A 2A8","-80.446907","43.4488985"
"Stanley Park","N2A 2A9","-80.4488191","43.4489099"
"Kinzie Avenue","N2A 2J9","-80.4345645","43.4339822"
"Jansen Avenue","N2A 2L4","-80.4342168","43.4306693"
"Jansen Avenue","N2A 2L8","-80.4321305","43.4316878"
"Centreville Chicopee","N2A 2M4","-80.4295226","43.4283338"
"Centreville-Chicopee","N2A 2M5","-80.4300442","43.4297211"
"Melvern Crescent","N2A 2W3","-80.4322175","43.4529599"
"Chicopee-Centreville","N2A 3M7","-80.431609","43.447612"
"Centreville-Chicopee","N2A 3R6","-80.4269147","43.4518422"
"Chicopee-Centreville","N2A 3R7","-80.4373461","43.4485423"
"Lackner Woods","N2A 4B1","-80.418047","43.4503491"
"Stanley Park","N2A 4K7","-80.4492536","43.448275"
"Tremaine Park","N2A 4L1","-80.4214811","43.4401562"
"Tremaine Park","N2A 4L4","-80.4121346","43.4394057"
"Edgewater Estates","N2A 4L5","-80.4098739","43.4402596"
"Tremaine Park","N2A 4L6","-80.411613","43.4413016"
"Tremaine Park","N2A 4L7","-80.4107435","43.4434666"
"Victoria Hills","N2A 4L8","-80.4121346","43.4423902"
"Tremaine Park","N2A 4L9","-80.4135258","43.4419106"
"Tremaine Park","N2A 4M1","-80.407961","43.4438287"
"Shantz Park","N2B 1A5","-80.4557716","43.4569538"
"Sherwood Avenue","N2B 1K2","-80.4599429","43.4567071"
"Rosemount","N2B 1R3","-80.4637229","43.4601198"
"Tanglewood","N2B 1S5","-80.4561193","43.460265"
"Bridgeport Neighbourhood","N2B 2G1","-80.4809698","43.4762201"
"Grand River","N2B 2S7","-80.4371722","43.4570319"
"Lichty Crescent","N2B 2Z5","-80.4488191","43.4656188"
"Muskoka Court","N2B 3M2","-80.4429089","43.4654204"
"Grand River North","N2B 3V2","-80.4293488","43.4612964"
"Kingsdale","N2C 1B4","-80.4541205","43.4309241"
"Vanier Drive","N2C 1J9","-80.4578573","43.4231021"
"Courtland Shelley","N2C 1K6","-80.4627236","43.4232118"
"Kingsdale","N2C 1Y1","-80.4583787","43.4274751"
"Willson/Traynor","N2C 1Z6","-80.4462117","43.4219748"
"Traynor-Vanier","N2C 2B1","-80.4540336","43.4218853"
"Courtland-Shelley","N2C 2C5","-80.4616809","43.4237215"
"Kingsdale","N2C 2R7","-80.4583787","43.4298635"
"Alpine Community","N2E 1B4","-80.4809698","43.4195152"
"Laurentian Hills","N2E 1C3","-80.4962588","43.4178078"
"Chandler Mowat","N2E 1G9","-80.4985172","43.4238196"
"Chandler Mowat","N2E 1H6","-80.4957376","43.4229901"
"Valleyview Neighbourhood area","N2E 1L6","-80.5106765","43.4197585"
"Alpine Community","N2E 1N2","-80.4761915","43.4179953"
"Balser Creek","N2E 1P4","-80.4703701","43.4172836"
"Country Hills","N2E 1P6","-80.4734981","43.4151566"
"Cedar Hills Neighbourhood","N2E 1R3","-80.4759308","43.4129712"
"Ward 6","N2E 1T2","-80.4833155","43.4153068"
"Kingswood","N2E 2K2","-80.4736718","43.4203971"
"Country Hills/Alpine Community","N2E 2K3","-80.478711","43.4120095"
"Country Hills","N2E 2M9","-80.4847923","43.4117718"
"Glencairn","N2E 2R1","-80.4906995","43.4107726"
"Country Hills","N2E 2X1","-80.484358","43.4088234"
"Country Hills","N2E 2X2","-80.4835761","43.408534"
"Glencairn","N2E 3E3","-80.4889187","43.4115571"
"Chandler-Mowat","N2E 3L7","-80.499212","43.4229818"
"Glencairn","N2E 3N1","-80.4962588","43.4112374"
"Williamsburg","N2E 3P9","-80.5085922","43.4112221"
"Laurentian West","N2E 3V7","-80.512066","43.405538"
"Copper Leaf Crescent","N2E 3W1","-80.50755","43.4033688"
"Country Hills","N2E 3X5","-80.487051","43.4043443"
"Foxglove Park","N2E 3Y6","-80.5245707","43.412256"
"Laurentian West","N2E 4A3","-80.5150187","43.4068298"
"Williamsburg","N2E 4A4","-80.5068552","43.4057006"
"Williamsburg","N2E 4C4","-80.5117186","43.4031192"
"Williamsburg","N2E 4H9","-80.50286","43.4061138"
"Kitchener Downtown","N2G 1A6","-80.4908732","43.4509427"
"Cherry Park","N2G 1E3","-80.5094606","43.4559275"
"Auditorium Neighbourhood","N2G 1H7","-80.4974749","43.451793"
"Victoria Park","N2G 1K9","-80.4981697","43.4449867"
"Cherry Park","N2G 1M7","-80.5061604","43.4504295"
"Cherry Park","N2G 1P6","-80.5047708","43.4482243"
"Cherry Park","N2G 1R3","-80.5073763","43.4497849"
"Cherry Park","N2G 1R4","-80.5094606","43.449362"
"Downtown Community","N2G 1W3","-80.4922631","43.4474776"
"Bread and Roses","N2G 1W6","-80.4933923","43.4454082"
"Schneider Creek","N2G 1W7","-80.4943478","43.4452642"
"Victoria Park","N2G 1X7","-80.4936529","43.4481907"
"Asgard Green/Cherry St","N2G 2C9","-80.5078974","43.446993"
"Cherry Park","N2G 2E5","-80.5036417","43.453875"
"Cherry Park","N2G 2G9","-80.5144108","43.4529833"
"Eden Park Community","N2G 2H5","-80.5151055","43.4534889"
"Rockway","N2G 2N9","-80.464114","43.4385539"
"Schneider Creek Neighbourhood","N2G 2X6","-80.4920025","43.4435011"
"Schneider Creek Neighbourhood","N2G 2X9","-80.4925237","43.443097"
"Schneider Creek","N2G 2Y1","-80.4921762","43.4432172"
"Benton Street Neighbourhood","N2G 3H4","-80.4898308","43.4472742"
"Victoria Park","N2G 3K2","-80.4906126","43.4432356"
"Mike Wagner Green","N2G 3K3","-80.4909601","43.44222"
"Sydney Street Kids","N2G 3V2","-80.472803","43.4386853"
"Rockway","N2G 3V8","-80.4755833","43.4347391"
"Lackner Woods","N2G 3W6","-80.4854873","43.4446724"
"Lower Doon","N2G 4M4","-80.4790151","43.4453617"
"Victoria Park","N2G 4T5","-80.524397","43.4383695"
"Victoria Park","N2G 4T6","-80.4984303","43.4492615"
"Victoria Park","N2G 4T7","-80.4912207","43.4485842"
"Duke St.","N2H 1B2","-80.480883","43.4474954"
"Auditorium Neighbourhood","N2H 1G2","-80.4719341","43.4468205"
"Lancaster","N2H 1N2","-80.4814911","43.4522467"
"Auditorium","N2H 1R1","-80.4762783","43.450318"
"Central Frederick","N2H 1R9","-80.4784504","43.4546032"
"Auditorium Neighbourhood","N2H 1T2","-80.4741063","43.4481216"
"Central Frederick","N2H 1V3","-80.4766259","43.4551218"
"Central Frederick","N2H 1W6","-80.479406","43.4583385"
"Central Frederick","N2H 1Y7","-80.4745407","43.4558423"
"Auditorium Neighbourhood (St Anne's Catholic Church)","N2H 1Z4","-80.4705439","43.4508821"
"Auditorium Neighbourhood","N2H 2B9","-80.4693275","43.4515261"
"Central Frederick","N2H 2K5","-80.4758005","43.4583723"
"Mension Green Community","N2H 2K6","-80.4758004","43.4587452"
"Kitchener Downtown","N2H 2L7","-80.487051","43.4509214"
"Central Frederick","N2H 2P1","-80.4741931","43.4567084"
"Central Frederick","N2H 2P5","-80.4721079","43.4592191"
"Central Frederick","N2H 2S3","-80.477234","43.4545013"
"Central Frederick","N2H 2V3","-80.4798404","43.4515862"
"Central Frederick","N2H 2V8","-80.4791454","43.4509312"
"Central Frederick","N2H 2V9","-80.4796667","43.4512733"
"King East","N2H 2W7","-80.4826205","43.4477901"
"Stirling/Weber","N2H 3G4","-80.4752357","43.4457541"
"Auditorium Neighbourhood","N2H 3H2","-80.4714128","43.4487167"
"Auditorium Neighbourhood","N2H 3H3","-80.4676766","43.449821"
"Ferdinand Street","N2H 3W1","-80.5032074","43.4607766"
"Downtown Community","N2H 3W4","-80.4885278","43.4512688"
"Downtown Neighbourhood Alliance","N2H 3W7","-80.4905258","43.4521074"
"Olde Berlin Town Neighbourhood","N2H 3Z1","-80.4900914","43.4525933"
"College Street","N2H 3Z4","-80.4925237","43.4538412"
"Huron Park Community Garden","N2H 4C7","-80.4932186","43.4580769"
"Mount Hope-Breithaupt Park ","N2H 4C8","-80.4943478","43.4589919"
"Louisa Street","N2H 4E2","-80.4950427","43.4605419"
"Mount Hope-Breithaupt Park","N2H 4E5","-80.4958245","43.4621737"
"Margaret/Guelph/Weber/Erb (Hartwood Green)","N2H 4J8","-80.4971274","43.4657884"
"Mount Hope-Breithaupt Park","N2H 4L2","-80.4922631","43.4668734"
"Mount Hope-Breithaupt Park ","N2H 4L5","-80.4926106","43.4707807"
"Mount Hope-Breithaupt Park ","N2H 4L6","-80.484358","43.4564406"
"Wellington/Lancaster","N2H 4T2","-80.4828811","43.4607181"
"Victoria Park","N2H 4Y5","-80.4888753","43.4520439"
"Downtown Neighbourhood Alliance","N2H 4Y6","-80.4894834","43.4520202"
"Victoria Common","N2H 5N2","-80.4900046","43.4608666"
"Brubacher Street","N2H 5N3","-80.4860086","43.4609798"
"Mount Hope-Breithaupt Park","N2H 5R9","-80.4956508","43.4591754"
"Mount Hope-Breithaupt Park","N2H 5T4","-80.486356","43.4633958"
"Breithaupt/Old Pinke Street","N2H 5T8","-80.4982566","43.4610343"
"Guelph Street Garden","N2H 5Z3","-80.4833155","43.4660503"
"Hartwood Court","N2H 6B5","-80.499212","43.4656642"
"Mount Hope-Breithaupt Park","N2H 6C1","-80.4944347","43.4656379"
"St Teresa Catholic School community","N2H 6H2","-80.4873985","43.4682565"
"Queen's Heights","N2H 6S3","-80.4820992","43.4577435"
"Victoria Park","N2J 1A4","-80.5084185","43.459123"
"Mount Hope-Breithaupt Park","N2J 2E9","-80.4966931","43.4710475"
"Mount Hope-Breithaupt Park ","N2J 2G5","-80.4965194","43.4716296"
"Bridgeport Neighbourhood","N2K 1G9","-80.478016","43.4826835"
"Bridgeport Neighbourhood","N2K 1K6","-80.4893096","43.4828832"
"Bridgeport","N2K 1K7","-80.4853136","43.4835927"
"Bridgeport Neighbourhood","N2K 1P3","-80.4879197","43.4779949"
"Bridgeport Neighbourhood","N2K 1T7","-80.4987777","43.4897139"
"Mill-Courtland","N2K 2S6","-80.5173634","43.4946947"
"Inge Court","N2K 3V7","-80.4693275","43.4777801"
"Victoria Park","N2M 1A5","-80.4975617","43.4412795"
"Laurentian","N2M 1B9","-80.5047708","43.435389"
"Patricia Avenue","N2M 1K1","-80.5092869","43.4453182"
"Edible Forest Heights","N2M 1V6","-80.5171029","43.4326862"
"Brock Street","N2M 1X1","-80.4999937","43.4425274"
"Brock Street","N2M 1X2","-80.5003412","43.4418102"
"Victoria Hills","N2M 2G2","-80.5256127","43.4422022"
"Victoria Hills","N2M 2G3","-80.523355","43.4427604"
"Victoria Hills","N2M 2J2","-80.5193606","43.4473524"
"Westwood Neighbourhood","N2M 2K7","-80.5289121","43.4444174"
"Westwood Neighbourhood","N2M 2K8","-80.528999","43.4452454"
"Westmount","N2M 2R7","-80.5395043","43.4454483"
"Queen/Highland","N2M 3B6","-80.4992989","43.4409769"
"Highland","N2M 3C2","-80.5065078","43.4412058"
"Glendale Park","N2M 3G1","-80.497388","43.4367873"
"Lakeside Park","N2M 3H2","-80.4981697","43.4342405"
"Mill-Courtland","N2M 3R2","-80.487746","43.4384438"
"Mill-Courtland","N2M 3R7","-80.4823599","43.4357543"
"Pattandon","N2M 3S5","-80.4828811","43.4344545"
"Mill-Courtland","N2M 3Y4","-80.4936529","43.4374453"
"Lakeside Park","N2M 4C5","-80.4999937","43.4310342"
"Lakeside Park","N2M 4E3","-80.5044233","43.4311803"
"Community of Christ","N2M 4Y1","-80.5169292","43.4220718"
