"neighbourhood","ward","code","activity","date","quote"
"Settler's Grove",3,"N2P 2H5","Family Movie Day","2015-10-17",""
"Williamsburg",5,"N2E 4A4","Community Movie","2015-10-30",""
"Central Frederick",10,"N2H 1R9","Halloween Potluck and Costume Party","2015-10-30",""
"Victoria Hills",8,"N2M 2G2","Eid Celebration","2015-10-25",""
"Mension Greens Community",10,"N2H 2K6","Garden Winter Preparation","2015-10-24",""
"Centreville-Chicopee",2,"N2A 2M4","Movie Night","2015-11-12",""
"Victoria Park",9,"N2G 1K9","Completion of the Food Forest Planting","2015-10-25",""
"Kingsdale",3,"N2C 1Y1","Halloween Party","2015-10-31",""
"Stanley Park",2,"N2A 4K7","Halloween Party","2015-10-31",""
"Auditorium Neighbourhood",10,"N2G 1H7","Pumpkin Parade","2015-10-30",""
"Victoria Park",9,"N2G 1K9","Pumpkin Parade","2015-11-04",""
"Glencairn",6,"N2E 2R1","Movie Night","2015-11-07",""
"Central Frederick",10,"N2H 1R9","Refugee Benefit Concert","2015-11-14",""
"Settler's Grove",3,"N2P 2H5","Annual Holiday Party","2015-12-03",""
"Central Frederick",10,"N2H 1R9","CFNA Holiday Open House","2015-07-07",""
"Central Frederick",10,"N2H 1R9","Central Frederick Art Walk","2015-11-08",""
"Forest Heights",7,"N2N 2G4","Pizza with Santa","2015-12-01",""
"Centreville-Chicopee",9,"N2A 2M4","Family Day","2016-02-15",""
"Central Frederick",10,"N2H 1R9","Winterfest in Weber Park","2016-02-21",""
"Country Hills",6,"N2E 2K3","Family Day Skating Party","2016-02-15",""
"Mount Hope-Breithaupt Park",10,"N2H 4C8","Swimming Party","2016-03-12",""
"Schneider Creek",9,"N2G 1W7","Porch Party","2016-07-25",""
"Huron Community",5,"N2R 1K4","Public Meeting","2016-02-16",""
"Laurentian West",5,"N2E 3V7","Community Fun Fest","2016-02-27",""
"Duke St.",10,"N2H 1B2","Weekly Potluck","2015-10-21",""
"Boardwalk",7,"N2N 3H3","Movie Matinee","2015-11-14",""
"Doon Pioneer Park",4,"N2P 1L4","Brunch and Learn","2016-02-11",""
"Victoria Park",9,"N2G 1K9","2nd Annual sledding and skating party","2016-02-15",""
"King East",10,"N2H 2W7","Bashful Butterfly Painting Party","2016-03-19",""
"Forest Heights",7,"N2N 2G4","Family Day","2016-02-15",""
"Forest Heights",7,"N2N 2G4","Family FUN Day","2016-06-18",""
"Mill Courtland",7,"N2M 3R2","Family Day Carnival","2016-02-14",""
"Bridgeport",1,"N2K 1G9","Movie Matinees","2016-02-07",""
"Bridgeport",1,"N2K 1G9","Family Day Celebration and Skating Party","2016-02-15",""
"Doon Pioneer Park",4,"N2P 1L4","Family Day Movie and Pizza","2016-02-15",""
"Doon Pioneer Park",4,"N2P 1L4","Friday Family Fun Night","2016-02-26",""
"Kingsdale",3,"N2C 1B4","BBQ & Board Games","2016-02-15",""
"Stanley Park",2,"N2A 1K4","Fun Family Day Swim","2016-02-15",""
"Victoria Hills",8,"N2M 2G2","Winter Fun Day","2016-02-15",""
"Tremaine Park",2,"N2A 4L1","Easter Egg Hunt","2016-03-25",""
"Boardwalk",7,"N2N 3H3","Owl Walk","2016-02-20",""
"Central Frederick",10,"N2H 1R9","Board Games Day","2016-03-05",""
"Auditorium Neighbourhood",10,"N2G 1H7","Family Day Skating Party","2016-02-15",""
"Doon Pioneer Park",4,"N2P 1L4","Earth Day Clean-Up","2016-04-16",""
"Stanley Park",2,"N2A 4K7","Movie Night","2016-03-04",""
"Forest Heights",7,"N2N 2G4","Easter Egg Hunt","2016-03-26",""
"Settler's Grove",3,"N2P 2H5","Easter Egg Hunt","2016-03-26",""
"Tremaine Park",2,"N2A 4L1","Earth Day Clean Up","2016-04-23",""
"Tremaine Park",2,"N2A 4L1","Neighbourhood Garage Sale","2016-04-30",""
"Centreville-Chicopee",2,"N2A 2M4","Movie Day","2016-03-17",""
"Central Frederick",10,"N2H 1R9","Neighbourhood Garage Sale","2016-05-28",""
"Victoria Park Pavillion",9,"N2A 4L1","Neighbourhood Lecture Series","2016-03-17",""
"Foxglove Park",5,"N2E 3Y6","Neighbourhood Egg Hunt","2016-03-26",""
"Huron Community",5,"N2P 1G8","Easter Egg Hunt","2016-03-26",""
"Huron Community",5,"N2P 1G8","Annual Neighbourhood Garage Sale","2016-06-11",""
"Williamsburg",5,"N2E 4H9","Annual Easter Egg Hunt","2016-06-27",""
"Kingswood",6,"N2E 2K2","Annual Easter Egg Hunt","2016-03-27",""
"Settler's Grove",3,"N2P 2H5","Earth Day Clean Up","2016-04-23",""
"Alpine Community",6,"N2E 1B4","Apline Village Garage Sale","2016-06-11",""
"Country Hills",6,"N2E 2K3","Family FUN Day","2016-04-24",""
"Alpine Community",6,"N2E 1B4","Earth Day Clean Up","2016-04-23",""
"Mount Hope-Breithaupt Park",10,"N2H 4C8","Earth Day Clean Up","2016-04-23",""
"Auditorium Neighbourhood",10,"N2G 1H7","Earth Day Clean Up","23/04/2016",""
